title,categories/keyword,author_tags
"hydrogeological parameter distribution estimation by geostatistical methods in regional groundwater modeling in the upper central plain, thailand(article)",international journal of civil engineering and technology,"['groundwater model', 'hydraulic conductivity', 'kriging method', 'transmissivity']"
applying psychic distance to services internationalization: a case study of thai caregivers and japanese elderly(article),journal of asia-pacific business,"['cultural distance', 'health care services', 'japan', 'perceived psychic distance', 'service internationalization', 'thailand', 'elderly care', 'globalization', 'health services', 'thailand']"
estimation of aloe-emodin content in cassia grandis and cassia garrettiana leaves using tlc densitometric method and tlc image analysis(article)(open access),indian journal of pharmaceutical sciences,"['aloe-emodin contents', 'cassia garrettiana', 'cassia grandis', 'tlc densitometry', 'tlc image analysis', 'aloe emodin', 'anthraquinone', 'cassia garrettiana extract', 'cassia grandis extract', 'dichloromethane', 'hexane', 'plant extract', 'silica gel', 'unclassified drug', 'accuracy', 'article', 'calibration', 'chromatography by mobile phase', 'chromatography by stationary phase', 'comparative study', 'controlled study', 'correlation analysis', 'cost effectiveness analysis', 'densitometry', 'drug specificity', 'herbal medicine', 'image analysis', 'limit of detection', 'limit of quantitation', 'measurement repeatability', 'nonhuman', 'phytochemistry', 'plant leaf', 'quantitative analysis', 'thin layer chromatography', 'ultraviolet spectrophotometry']"
anti-rice pathogenic microbial activity of persicaria sp. extracts(article),science and technology asia,"['antimicrobial activity', 'essential oil', 'persicaria sp', 'rice pathogens', 'structure activity relationship']"
line-1 orf1 protein is up-regulated by reactive oxygen species and associated with bladder urothelial carcinoma progression(article)(open access),cancer genomics and proteomics,"['4-hne', 'bladder cancer', 'cancer progression', 'immunohistochemistry', 'line-1', 'orf1p', 'oxidative stress', '4 hydroxynonenal', 'hydrogen peroxide', 'orf1p protein', 'protein', 'reactive oxygen metabolite', 'unclassified drug', 'orf1 protein, human', 'protein', 'reactive oxygen metabolite', 'adult', 'article', 'cancer growth', 'carcinogenesis', 'cell migration', 'controlled study', 'female', 'human', 'human tissue', 'immunohistochemistry', 'male', 'oxidative stress', 'protein expression', 'protein induction', 'tccsup cell line', 'transitional cell carcinoma', 'um-uc-3 cell line', 'upregulation', 'vm-cub-1 cell line', 'aged', 'bladder tumor', 'cell motion', 'disease exacerbation', 'genetics', 'long interspersed repeat', 'metabolism', 'pathology', 'physiology', 'aged', 'cell movement', 'disease progression', 'female', 'humans', 'long interspersed nucleotide elements', 'male', 'proteins', 'reactive oxygen species', 'up-regulation', 'urinary bladder neoplasms']"
a model predicting short-term mortality in patients with advanced liver cirrhosis and concomitant infection(article)(open access),medicine (united states),"['3-month mortality', 'cirrhosis', 'infection', 'meld score', 'bilirubin', 'adult', 'article', 'asia', 'china', 'chronic liver failure', 'cohort analysis', 'concurrent infection', 'controlled study', 'decision tree', 'end stage liver disease', 'female', 'high risk population', 'human', 'intermediate risk population', 'international normalized ratio', 'liver cirrhosis', 'low risk population', 'major clinical study', 'male', 'measurement accuracy', 'middle aged', 'model', 'model for end stage liver disease score', 'mortality', 'multivariate logistic regression analysis', 'neutrophil count', 'population', 'priority journal', 'prognostic assessment', 'reproducibility', 'retrospective study', 'sequential organ failure assessment score', 'south korea', 'survival prediction', 'survival time', 'united states', 'youden index', 'aged', 'complication', 'decision support system', 'infection', 'kaplan meier method', 'liver cirrhosis', 'predictive value', 'prognosis', 'severity of illness index', 'statistical model', 'validation study', 'adult', 'aged', 'decision support techniques', 'end stage liver disease', 'female', 'humans', 'infection', 'kaplan-meier estimate', 'liver cirrhosis', 'logistic models', 'male', 'middle aged', 'predictive value of tests', 'prognosis', 'reproducibility of results', 'retrospective studies', 'severity of illness index']"
blocking of type 1 angiotensin ii receptor inhibits t-lymphocyte activation and il-2 production(article)(open access),in vivo,"['angiotensin', 'candesartan', 'erk', 'il-2', 't-lymphocyte', 'angiotensin 1 receptor', 'candesartan', 'fr 180204', 'interleukin 2', 'interleukin 2 receptor alpha', 'ionomycin', 'mitogen activated protein kinase', 'mitogen activated protein kinase inhibitor', 'perifosine', 'phorbol 13 acetate 12 myristate', 'protein kinase b', 'unclassified drug', 'angiotensin 1 receptor', 'angiotensin 1 receptor antagonist', 'benzimidazole derivative', 'candesartan', 'cytokine', 'interleukin 2', 'tetrazole derivative', 'article', 'cell viability', 'controlled study', 'cytokine production', 'cytokine release', 'drug cytotoxicity', 'drug effect', 'enzyme activation', 'enzyme linked immunosorbent assay', 'enzyme phosphorylation', 'flow cytometry', 'human', 'human cell', 'jurkat cell line', 'protein expression', 'protein synthesis inhibition', 'regulatory mechanism', 'signal transduction', 't lymphocyte activation', 'western blotting', 'wst-1 assay', 'biosynthesis', 'cell survival', 'immunology', 'lymphocyte activation', 'mapk signaling', 'metabolism', 'physiology', 't lymphocyte', 'angiotensin ii type 1 receptor blockers', 'benzimidazoles', 'cell survival', 'cytokines', 'humans', 'interleukin-2', 'jurkat cells', 'lymphocyte activation', 'map kinase signaling system', 'receptor, angiotensin, type 1', 't-lymphocytes', 'tetrazoles']"
comparative study on different turning device alignments for household food waste composters(article),environmental progress and sustainable energy,"['food waste', 'horizontal', 'in-vessel composter', 'turning device', 'vertical', 'biology', 'biological digestion', 'comparative studies', 'electrical conductivity', 'evolution characteristics', 'food waste', 'horizontal', 'turning device', 'vertical', 'anaerobic digestion']"
wine futures: pricing and allocation as levers against quality uncertainty(book chapter),international series in operations research and management science,"['futures pricing', 'quality uncertainty', 'stochastic optimization', 'wine futures']"
neovascular age-related macular degeneration: intraocular inflammatory cytokines in the poor responder to ranibizumab treatment(article)(open access),clinical ophthalmology,"['anti-vegf non-responder', 'choroidal neovascularization', 'neovascular age-related macular degeneration', 'poor responder', 'ranibizumab and amd', 'aflibercept', 'angiopoeitin 2', 'cytokine', 'intercellular adhesion molecule', 'interleukin 6', 'lymphocyte antigen', 'placental growth factor', 'platelet derived growth factor', 'ranibizumab', 'unclassified drug', 'vasculotropin a', 'age', 'age related macular degeneration', 'aged', 'aqueous humor', 'article', 'clinical article', 'concentration (parameters)', 'controlled study', 'disease course', 'drug effect', 'drug response', 'drug withdrawal', 'female', 'gender', 'human', 'male', 'observational study', 'ontario', 'photodynamic therapy', 'prospective study', 'race', 'retina neovascularization', 'subretinal neovascularization', 'treatment duration']"
