title,categories/keyword,author_tags,title_tfidf
hydrogeological parameter distribution estimation geostatistical method regional groundwater modeling upper central plain thailandarticle,international journal civil engineering technology,groundwater model hydraulic conductivity kriging method transmissivity,[0. 0. 0. ... 0. 0. 0.]
applying psychic distance service internationalization case study thai caregiver japanese elderlyarticle,journal asiapacific business,cultural distance health care service japan perceived psychic distance service internationalization thailand elderly care globalization health service thailand,[0. 0. 0. ... 0. 0. 0.]
estimation aloeemodin content cassia grandis cassia garrettiana leaf using tlc densitometric method tlc image analysisarticleopen access,indian journal pharmaceutical science,aloeemodin content cassia garrettiana cassia grandis tlc densitometry tlc image analysis aloe emodin anthraquinone cassia garrettiana extract cassia grandis extract dichloromethane hexane plant extract silica gel unclassified drug accuracy article calibration chromatography mobile phase chromatography stationary phase comparative study controlled study correlation analysis cost effectiveness analysis densitometry drug specificity herbal medicine image analysis limit detection limit quantitation measurement repeatability nonhuman phytochemistry plant leaf quantitative analysis thin layer chromatography ultraviolet spectrophotometry,[0. 0. 0. ... 0. 0. 0.]
antirice pathogenic microbial activity persicaria sp extractsarticle,science technology asia,antimicrobial activity essential oil persicaria sp rice pathogen structure activity relationship,[0. 0. 0. ... 0. 0. 0.]
line orf protein upregulated reactive oxygen specie associated bladder urothelial carcinoma progressionarticleopen access,cancer genomics proteomics,hne bladder cancer cancer progression immunohistochemistry line orfp oxidative stress hydroxynonenal hydrogen peroxide orfp protein protein reactive oxygen metabolite unclassified drug orf protein human protein reactive oxygen metabolite adult article cancer growth carcinogenesis cell migration controlled study female human human tissue immunohistochemistry male oxidative stress protein expression protein induction tccsup cell line transitional cell carcinoma umuc cell line upregulation vmcub cell line aged bladder tumor cell motion disease exacerbation genetics long interspersed repeat metabolism pathology physiology aged cell movement disease progression female human long interspersed nucleotide element male protein reactive oxygen specie upregulation urinary bladder neoplasm,[0. 0. 0. ... 0. 0. 0.]
model predicting shortterm mortality patient advanced liver cirrhosis concomitant infectionarticleopen access,medicine united state,month mortality cirrhosis infection meld score bilirubin adult article asia china chronic liver failure cohort analysis concurrent infection controlled study decision tree end stage liver disease female high risk population human intermediate risk population international normalized ratio liver cirrhosis low risk population major clinical study male measurement accuracy middle aged model model end stage liver disease score mortality multivariate logistic regression analysis neutrophil count population priority journal prognostic assessment reproducibility retrospective study sequential organ failure assessment score south korea survival prediction survival time united state youden index aged complication decision support system infection kaplan meier method liver cirrhosis predictive value prognosis severity illness index statistical model validation study adult aged decision support technique end stage liver disease female human infection kaplanmeier estimate liver cirrhosis logistic model male middle aged predictive value test prognosis reproducibility result retrospective study severity illness index,[0. 0. 0. ... 0. 0. 0.]
blocking type angiotensin ii receptor inhibits tlymphocyte activation il productionarticleopen access,vivo,angiotensin candesartan erk il tlymphocyte angiotensin receptor candesartan fr interleukin interleukin receptor alpha ionomycin mitogen activated protein kinase mitogen activated protein kinase inhibitor perifosine phorbol acetate myristate protein kinase b unclassified drug angiotensin receptor angiotensin receptor antagonist benzimidazole derivative candesartan cytokine interleukin tetrazole derivative article cell viability controlled study cytokine production cytokine release drug cytotoxicity drug effect enzyme activation enzyme linked immunosorbent assay enzyme phosphorylation flow cytometry human human cell jurkat cell line protein expression protein synthesis inhibition regulatory mechanism signal transduction lymphocyte activation western blotting wst assay biosynthesis cell survival immunology lymphocyte activation mapk signaling metabolism physiology lymphocyte angiotensin ii type receptor blocker benzimidazoles cell survival cytokine human interleukin jurkat cell lymphocyte activation map kinase signaling system receptor angiotensin type tlymphocytes tetrazoles,[0. 0. 0. ... 0. 0. 0.]
comparative study different turning device alignment household food waste compostersarticle,environmental progress sustainable energy,food waste horizontal invessel composter turning device vertical biology biological digestion comparative study electrical conductivity evolution characteristic food waste horizontal turning device vertical anaerobic digestion,[0. 0. 0. ... 0. 0. 0.]
wine future pricing allocation lever quality uncertaintybook chapter,international series operation research management science,future pricing quality uncertainty stochastic optimization wine future,[0. 0. 0. ... 0. 0. 0.]
neovascular agerelated macular degeneration intraocular inflammatory cytokine poor responder ranibizumab treatmentarticleopen access,clinical ophthalmology,antivegf nonresponder choroidal neovascularization neovascular agerelated macular degeneration poor responder ranibizumab amd aflibercept angiopoeitin cytokine intercellular adhesion molecule interleukin lymphocyte antigen placental growth factor platelet derived growth factor ranibizumab unclassified drug vasculotropin age age related macular degeneration aged aqueous humor article clinical article concentration parameter controlled study disease course drug effect drug response drug withdrawal female gender human male observational study ontario photodynamic therapy prospective study race retina neovascularization subretinal neovascularization treatment duration,[0. 0. 0. ... 0. 0. 0.]
pressure transmission area maximum pressure transmission different thermoplastic resin denture base material impact loadarticle,journal prosthodontic research,impact load maximum pressure transmission pressure transmission area thermoplastic resin denture base material acrylic acid resin dental material nylon polymethyl methacrylate polycarbonate polycarboxylate cement resin dental procedure denture denture base denture design elasticity hardness material testing mechanical stress polymerization pressure acrylic resin dental material dental stress analysis denture base denture design denture elasticity hardness material testing nylon polycarboxylate cement polymerization polymethyl methacrylate pressure resin synthetic stress mechanical,[0. 0. 0. ... 0. 0. 0.]
application damino acid biofilm dispersing agent dental unit waterlinesarticleopen access,international journal dentistry,,[0. 0. 0. ... 0. 0. 0.]
graceful exit cosmological constant damping scenarioarticleopen access,physical review,,[0. 0. 0. ... 0. 0. 0.]
synthesis glycerol carbonate dimethyl carbonate glycerol using cao derived eggshellsconference paperopen access,matec web conference,carbonation catalyst activity cost effectiveness waste treatment catalyst loading dimethyl carbonate feed molar ratio glycerol carbonate glycerol conversion operating condition reaction performance reaction temperature glycerol,[0. 0. 0. ... 0. 0. 0.]
