title,authors,article_info,abstract,categories/keyword,citation_info,document_info,author_tags,affiliations,funding
"Incorporation of anthocyanin-rich riceberry rice in yogurts: Effect on physicochemical properties, antioxidant activity and in vitro gastrointestinal digestion(Article)","['Anuyahong, T.', 'Chusak, C.', 'Adisakwattana, S.']","Volume 129, July 2020, Article number 109571","The pigment of riceberry rice is a natural ingredient with health benefit because of its rich polyphenols, especially anthocyanins. This study evaluated the effect of 0.125–0.5% (w/w) riceberry rice extract (RBE) supplementation on physicochemical properties and sensory characteristics of yogurt. RBE supplementation to yogurt significantly increased total phenolic content (TPC), cyanidin-3-glucoside (C3G), peonidin-3-glucoside (P3G), DPPH radical scavenging activity and ferric reducing antioxidant power (FRAP). Furthermore, yogurt representing a reduction of syneresis and firmness, can be achieved by RBE. In gastrointestinal digestion, yogurt supplemented with RBE resulted in higher release of TPC, C3G, P3G and FRAP than the control. The addition of 0.125–0.25% (w/w) RBE into yogurt did not negatively influence the overall acceptability, compared to the control. The higher TPC and antioxidant activity of yogurt supplemented with 0.125–0.25% (w/w) RBE was observed during 21 days of refrigerated storage. The overall findings suggest that RBE offers a promising natural ingredient to produce novel yogurt. © 2020 Elsevier Ltd",LWT,"{'ISSN': '00236438', 'Source Type': 'LBWTA', 'Original Language': 'Journal'}","{'Document Type': '10.1016/j.lwt.2020.109571', 'Publisher': 'Article'}","['Anthocyanins', 'Antioxidant', 'In vitro digestion', 'Riceberry rice', 'Yogurt', 'Anthocyanins', 'Antioxidants', 'Carbohydrates', 'Dairies', 'Physicochemical properties', 'Anti-oxidant activities', 'DPPH radical scavenging activities', 'Ferric reducing antioxidant power', 'Gastrointestinal digestion', 'Overall acceptability', 'Refrigerated storages', 'Sensory characteristics', 'Total phenolic content', 'Dairy products']","['Phytochemical and Functional Food Research Unit for Clinical Nutrition, Department of Nutrition and Dietetics, Faculty of Allied Health Science, Chulalongkorn University, Bangkok, 10330, Thailand']","[{'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': 'CU-GRS-62-04-37-01', 'Acronym': 'CU'}]"
"A novel, virus-like double-stranded RNA in Phytopythium cucurbitacearum isolated from para rubber tree (Hevea brasiliensis) in eastern Thailand(Article)","['Hattapanichaporn, C.', 'Hakhunthod, W.', 'Wongkasemsiri, A.', 'Assavalapsakul, W.', 'Kriangkripipat, T.']","Volume 54, Issue 2, April 2020, Pages 180-189","Members of the order Peronosporales, especially Phytophthora, Phytopythium and Pythium, are notorious plant pathogens. A virus associated with the oomycetes from the para rubber tree has not been reported to date. In this report, rubber tree petioles with symptoms of abnormal leaf fall from eastern Thailand were isolated for oomycetes that were then screened for virus-like, double-stranded RNA using cellulose column chromatography. From 79 isolates, only isolate R84 contained three dsRNA segments with approximately 8.0, 3.7 and 2.3 kilobases. This was further confirmed by their ionic-strength-dependent sensitivity to hydrolysis using RNase A. Two-step reverse transcription using available Phytophthora virus-specific primers revealed that the dsRNA segments were not any of the currently reported Phytophthora viruses. Isolate R84 was described as: homothallic and having plerotic oogonia and paragynous antheridia; zoosporangia usually spherical, or occasionally ovoid, pyriform, with or without papilla; zoosporangia germinate by extension of the exit tube, vesicle formation and zoospore discharge. Phylogenetic analysis based on sequences of the internal transcribed spacer rDNA region of the isolate and those from other Phytopythium (Phy.; previously Pythium in clade K) from GenBank showed that the most closely related species was Phytopythium cucurbitacearum. Detached leaf assay showed that zoospores could infect both young and mature leaves. The growth rate, sexual and asexual reproduction, hymexazol resistance and leaf infection of isolate R84 suggested that the virus-like dsRNA infection was in a symptomless manner. This was the first report of dsRNA elements in Phy. cucurbitacearum and of Phy. cucurbitacearum on para rubber trees. /Copyright © 2020.",Agriculture and Natural Resources,"{'ISSN': '24681458', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.34044/j.anres.2020.54.2.09', 'Publisher': 'Article'}","['DsRNA', 'Hymexazol', 'Para rubber tree', 'Phytopythium cucurbitacearum', 'Virus']","['Department of Microbiology, Faculty of Science, Chulalongkorn University, Bangkok, 10330, Thailand']","[{'Funding Sponsor': 'Asahi Glass Foundation', 'Funding Number': '', 'Acronym': ''}, {'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': '', 'Acronym': 'CU'}, {'Funding Sponsor': 'National Science and Technology Development Agency', 'Funding Number': '', 'Acronym': 'à¸ªà¸§à¸\x97à¸\x8a'}, {'Funding Sponsor': 'Ministry of Science and Technology of Thailand', 'Funding Number': '', 'Acronym': 'MOST'}]"
Effects of training with a custom-made visual feedback device on balance and functional lower-extremity strength in older adults: A randomized controlled trial(Article),"['Oungphalachai, T.', 'Siriphorn, A.']","Volume 24, Issue 1, January 2020, Pages 199-205","Introduction: Training with a slow and sustained mechanical load, such as standing on one leg, is an effective method for improving balance and increasing lower-extremity strength. Also, visual feedback during motor learning is important in facilitating efficient postural responses and balance skills. In this study, a custom-made visual feedback device was invented to provide the training modality and program based on single-leg standing combined with augmented visual feedback training. This study aimed to investigate the effects of visual feedback training using the custom-made visual feedback device on balance and functional lower-extremity strength in older adults. Methods: Thirty-four independent older adults were randomly allocated to a training group (TG) and a control group (CG). The participants in the TG received training with the custom-made visual feedback device. The training duration was three sessions per week, for four weeks. The participants in the CG continued their routine activities. Balance (static and dynamic balances, and balance confidence) and functional lower-extremity strength were assessed pre- and post-training. Results: Improvements in static balance (sway velocity and limit of balance during one-leg standing with eyes open) and dynamic balance (directional control of limits of stability in the backward direction) were found after training in the TG compared with the CG. No significant differences in balance confidence or functional lower-extremity strength were found between groups after training. Conclusion: In older adults, training with a custom-made visual feedback device could be used to improve both static and dynamic balances, but not balance confidence and functional lower-extremity strength. © 2019 Elsevier Ltd",Journal of Bodywork and Movement Therapies,"{'ISSN': '13608592', 'Source Type': 'JBOTF', 'Original Language': 'Journal'}","{'Document Type': '10.1016/j.jbmt.2019.03.018', 'Publisher': '31987545'}","['balance', 'Lower-extremity strength', 'Older adults', 'Visual feedback training', 'aged', 'article', 'controlled study', 'eye', 'female', 'human', 'leg', 'male', 'randomized controlled trial', 'visual feedback', 'age', 'body equilibrium', 'devices', 'kinesiotherapy', 'lower limb', 'morphometry', 'muscle strength', 'physiology', 'procedures', 'sensory feedback', 'sex factor', 'Age Factors', 'Aged', 'Body Weights and Measures', 'Exercise Therapy', 'Feedback, Sensory', 'Female', 'Humans', 'Lower Extremity', 'Male', 'Muscle Strength', 'Postural Balance', 'Sex Factors']","['Human Movement Performance Enhancement Research Unit, Department of Physical Therapy, Faculty of Allied Health Sciences, Chulalongkorn University, Thailand']","[{'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': '', 'Acronym': 'CU'}]"
Update noticeLearn more about errata linking in Scopus,"['Teerasarntipan, T.', 'Chaiteerakij, R.', 'Prueksapanich, P.', 'Werawatganon, D.']","Volume 20, Issue 1, 8 August 2020, Article number 263","Background: Chronic exposure to lead causes lead to accumulate mainly in the liver. In vivo studies have shown that lead toxicity is related to alterations in the inflammatory response. We aimed to evaluate the association between lead poisoning and liver fibrosis as well as the change in the degree of liver fibrosis, levels of inflammatory mediators and glutathione (GSH) after chelation therapy. Methods: Workers from a battery factory who were exposed to lead for > 12 months and had a blood lead level (BLL) > 70 μg/dL were enrolled (n = 86) in the study. Participants underwent chelation therapy with intravenous CaNa2EDTA for 2 days followed by treatment with oral D-penicillamine for 90 days. The primary outcome was the change in the degree of liver fibrosis, which was presented as liver stiffness (LS) measured by FibroScan®. Secondary outcomes were the changes in the levels of serum GSH and inflammatory mediators such as tumor necrosis factor-alpha (TNF-α), interleukin-1β (IL-1β), and interleukin-6 (IL-6) after chelation therapy. Results: Among the 86 participants, there was a positive correlation between the duration of lead exposure and LS (r = 0.249, p = 0.021). To avoid the confounding effect of obesity-related steatosis, only 70 individuals who had controlled attenuation parameters < 296 dB/m, BMI < 25 kg/m2 and normal waist circumference were included in the interventional analysis. After chelation, the mean LS significantly decreased from 5.4 ± 0.9 to 4.8 ± 1.4 kPa (p = 0.001). Similarly, all of the inflammatory cytokines studied significantly decreased after chelation (p < 0.001); TNF-α decreased from 371.6 ± 211.3 to 215.8 ± 142.7; the levels of IL-1β decreased from 29.8 ± 1.7 to 25.9 ± 4.3; and the levels of IL-6 decreased from 46.8 ± 10.2 to 35.0 ± 11.9. On the other hand, the mean GSH level increased significantly from 3.3 ± 3.3 to 13.1 ± 3.7 (p < 0.001) after chelation therapy. Conclusion: The duration of lead exposure was significantly correlated with the degree of liver fibrosis. Chelation treatment was associated with increased levels of GSH and decreased levels of proinflammatory cytokines and could potentially reduce the degree of LS. Trial registration: This study was retrospectively registered and approved by the Thai Clinical Trial Registry (TCTR) on 2019-11-07. The TCTR identification number is TCTR20191108001. © 2020 The Author(s).",BMC Gastroenterology,"{'ISSN': '1471230X', 'Source Type': 'BGMAB', 'Original Language': 'Journal'}","{'Document Type': '10.1186/s12876-020-01386-w', 'Publisher': '32770948'}","['Chelation therapy', 'Chronic Lead poisoning', 'Hepatic fibrosis', 'Hepatic Steatosis', 'Hepatotoxicity', 'Oxidative stress', 'alanine aminotransferase', 'alkaline phosphatase', 'aspartate aminotransferase', 'edetate calcium disodium', 'glutathione', 'interleukin 1beta', 'interleukin 6', 'penicillamine', 'tumor necrosis factor', 'antioxidant', 'cytokine', 'lead', 'adult', 'age', 'alanine aminotransferase blood level', 'alkaline phosphatase blood level', 'Article', 'aspartate aminotransferase blood level', 'battery industry', 'body mass', 'chelation therapy', 'cohort analysis', 'correlation analysis', 'cross-sectional study', 'disease severity', 'fatty liver', 'female', 'human', 'industrial worker', 'intervention study', 'lead blood level', 'lead poisoning', 'liver fibrosis', 'liver stiffness', 'male', 'occupational exposure', 'prospective study', 'protein blood level', 'waist circumference', 'chelation therapy', 'complication', 'liver', 'Thailand', 'Antioxidants', 'Chelation Therapy', 'Cytokines', 'Humans', 'Lead', 'Lead Poisoning', 'Liver', 'Thailand']","['aDivision of Gastroenterology, Department of Medicine, Faculty of Medicine, Chulalongkorn University, King Chulalongkorn Memorial Hospital, Bangkok, 10330, Thailand', 'bCenter of Excellence for Innovation and Endoscopy in Gastrointestinal Oncology, Division of Gastroenterology, Department of Medicine, Faculty of Medicine, Chulalongkorn University, Bangkok, 10330, Thailand', 'cAlternative and Complementary Medicine for Gastrointestinal and Liver Diseases Research Unit, Department of Physiology, Faculty of Medicine, Chulalongkorn University, Bangkok, 10330, Thailand']",[]
Flavor Profile in Fresh-squeezed Juice of Four Thai Lime Cultivars: Identification of Compounds that Influence Fruit Selection by Master Chefs(Article),"['Korkitpoonpol, J.', 'Suwannaprom, N.', 'Keeratipibul, S.', 'Wongravee, K.', 'Phuwapraisirisan, P.', 'Xiao, L.', 'Boonbumrung, S.', 'Ngamchuachit, P.']","Volume 13, Issue 2, June 2020, Pages 146-157","The flavor and sensory profiles that influenced the selection of 4 commercial Thai lime cultivars (Citrus aurantifolia Swingle cv. ‘Pan Rumpai’, ‘Pan Puang’, and ‘Pan Pijit’ and Citrus latifolia Tanaka cv. ‘Tahiti’) by Thai chefs were examined. Twenty-eight volatiles (7 monoterpenes, 13 sesquiterpenes, 4 monoterpene alcohols, 1 aldehyde, 2 monoterpene aldehydes, and 1 monoterpene ester) and 9 non-volatiles (citric acid, malic acid, succinic acid, ascorbic acid, sucrose, fructose, glucose, limonin, and naringin) contributing to the flavor of Thai lime juice were identified using dynamic headspace-gas chromatography-olfactometry-mass spectrometry and high-performance liquid chromatography, respectively. An interview of master chefs and an acceptance test of culinary students revealed that Pan Puang was the most preferred lime cultivar owing to its moderate sour taste and its unique floral aroma contributed by terpinolene and linalool, along with its low content of β-myrcene, which contributes to balsamic and pungent aroma notes. © 2020 King Mongkut’s University of Technology North Bangkok. All Rights Reserved.",Applied Science and Engineering Progress,"{'ISSN': '26729156', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.14416/j.asep.2020.02.001', 'Publisher': 'Article'}","['Aroma', 'Flavor profile', 'Lime', 'Non-volatile', 'Taste', 'Volatile']","['aDepartment of Food Technology, Faculty of Science, Chulalongkorn University, Bangkok, Thailand', 'bDepartment of Chemistry, Faculty of Science, Chulalongkorn University, Bangkok, Thailand', 'cGERSTEL LLP, Alpha #02-18, 10 Science Park Road, 117684, Singapore', 'dInstitute of Food Research and Product Development, Kasetsart University, Bangkok, Thailand', 'eDepartment of Food Technology, Faculty of Science, Chulalongkorn University, Thailand Molecular Crop Research Unit, Bangkok, Thailand']","[{'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': 'CF58032301,GCURP59022301', 'Acronym': 'CU'}]"
Efficient stoneware hand mold for slip casting in natural rubber latex glove preparation(Article),"['Tangboriboon, N.', 'Teeraroengrit, S.', 'Chawhuaymhak, P.', 'Kamonsawas, J.', 'Changkhamchom, S.', 'Sirivat, A.']","Volume 36, Issue 4, 1 November 2020, Pages 262-283","Disposal medical gloves are an important product to maintain hygienic conditions, ensuring security for patients and safeguarding against infections. They are used in many fields, such as dental and medical, beauty and cuisine, food and pharmaceutical industries. Presently, aging populations and an emerging middle class in developing countries require medical gloves at a higher volume. Therefore, the demand for medical gloves increases continuously. In this work, two types of hand molds were prepared from stoneware clay and plaster to be used in the natural rubber glove preparation. The ceramic stoneware and plaster hand molds were prepared by the slip casting. The obtained stoneware hand molds were found to be superior to the commercial hand molds. Natural rubber latex (NRL) gloves were fabricated by dipping the stoneware hand mold coated with a coagulant into the NRL compound using the sulfur curing system at 120°C for 30 min. The latex solid:water weight ratio, drying and firing temperatures, and firing time used to prepare stoneware hand molds were found to affect the adsorption–adhesion properties between the mold surface and the NRL films. The obtained NRL films were further characterized for the physical properties such as appearance, film thickness, tackiness, and effusion of the phase formation by X-ray diffraction, the microstructure by scanning electron microscope, and the mechanical properties. The NRL glove films prepared by the stoneware hand mold possessed the high percentage elongation at break and the maximum load stress equal to 1343.30 ± 78.36% and 12.74 ± 2.34 MPa, respectively. On the other hand, the latex glove films prepared by the plaster hand mold with 80 consistency provided the percentage of elongation at break and the maximum load stress equal to 531.76 ± 2.54 and 21.01 ± 0.08 MPa, respectively. © The Author(s) 2020.","Progress in Rubber, Plastics and Recycling Technology","{'ISSN': '14777606', 'Source Type': 'PRPRC', 'Original Language': 'Journal'}","{'Document Type': '10.1177/1477760619895013', 'Publisher': 'Article'}","['Ceramic hand mold', 'mechanical properties', 'medical gloves', 'natural rubber latex film', 'Curing', 'Developing countries', 'Mechanical properties', 'Molds', 'Plaster', 'Rubber', 'Scanning electron microscopy', 'Adhesion properties', 'Elongation at break', 'Firing temperature', 'Hygienic conditions', 'medical gloves', 'Natural rubber latex', 'Percentage elongation', 'Pharmaceutical industry', 'Film preparation']","['aMaterials Engineering Department, Faculty of Engineering, Kasetsart University, Bangkok, Thailand', 'bThe Petroleum and Petrochemical College, Chulalongkorn University, Bangkok, Thailand']","[{'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': '', 'Acronym': 'CU'}, {'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': '', 'Acronym': 'TRF'}]"
MATPLAN: A probability-based planning tool for cost-effective grid integration of renewable energy(Article)(Open Access),"['Chen, T.', 'Pipattanasomporn, M.', 'Rahman, I.', 'Jing, Z.', 'Rahman, S.']","Volume 156, August 2020, Pages 1089-1099","This paper describes the developed MATPLAN - a probability-based production costing tool that treats renewable energy sources as candidates in a power system expansion planning study. Similar to the structure of the well-known Wien Automatic System Planning (WASP) package, MATPLAN comprises six modules: LOAD-CALC, EXIST-GEN, CANDI-GEN, CONFIG, OPTIMIZE and ELCC. MATPLAN takes into account the variable nature of renewable energy sources, including both solar and wind farms, and allows a user to consider renewable energy as options for expansion planning using a probability-based model. In contrast to the current practice that treats renewable energy sources as negative loads, MATPLAN enables system planners to take renewable sources as normal options for generation expansion planning problems, which can directly determine the optimal expansion policy and ELCC analysis of a system with high renewable penetration. MATPLAN is also designed as an open access software package which academics and practitioners can adapt to their specific situations and run many case studies as a screening tool. In the case studies, the tool was validated by comparing its resulting optimal expansion planning plan against that of the well-known WASP package and further tested using realistic field data. The complete MATPLAN code repository has been released under open-source licenses for public access, URL: https://github.com/wasp2019/MATPLAN. MATPLAN Wiki is also available, providing MATPLAN overview, features, user guides and developer resources. © 2020 Elsevier Ltd",Renewable Energy,"{'ISSN': '09601481', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.1016/j.renene.2020.04.145', 'Publisher': 'Article'}","['Generation expansion planning', 'Production costing simulation', 'Renewable energy integration', 'Cost effectiveness', 'Expansion', 'Natural resources', 'Open source software', 'Probability', 'Wind power', 'Expansion planning', 'Generation expansion planning problem', 'Open source license', 'Power system expansion planning', 'Production costing', 'Renewable energies', 'Renewable energy source', 'Solar and wind farms', 'Open systems', 'alternative energy', 'energy planning', 'energy resource', 'optimization', 'probability', 'solar power', 'wind farm']","['aBradley Department of Electrical and Computer Engineering, Advanced Research Institute, Virginia Tech, Arlington, VA  22203, United States', 'bSmart Grid Research Unit, Department of Electrical Engineering, Chulalongkorn University, 10330, Thailand']","[{'Funding Sponsor': 'U.S. Department of EnergySee opportunities\xa0by\xa0USDOE', 'Funding Number': 'DE-OE0000885', 'Acronym': 'USDOE'}, {'Funding Sponsor': 'U.S. Department of EnergySee opportunities\xa0by\xa0USDOE', 'Funding Number': '', 'Acronym': 'USDOE'}]"
A Well-Defined Core–Shell-Structured Capsule Catalyst for Direct Conversion of CO2into Liquefied Petroleum Gas(Article),"['Li, H.', 'Zhang, P.', 'Guo, L.', 'He, Y.', 'Zeng, Y.', 'Thongkam, M.', 'Natakaranakul, J.', 'Kojima, T.', 'Reubroycharoen, P.', 'Vitidsant, T.', 'Yang, G.', 'Tsubaki, N.']","Volume 13, Issue 8, 21 April 2020, Pages 2060-2065","A Pd/SiO2@S1@H-ZSM-5 capsule catalyst (Pd/SiO2–SZ) is fabricated through a dual-layer crystal growth method with an auxiliary hydrothermal reaction. The catalyst exhibits excellent selectivity to liquefied petroleum gas (LPG) in CO2hydrogenation reactions, which is attributed to the tandem reactions of methanol synthesis on the Pd/SiO2core catalyst and methanol dehydration to hydrocarbons on the H-ZSM-5 shell. The Pd/SiO2–SZ capsule catalyst has a similar mesoporous structure, narrow range of Pd particles size distribution, and consistent reduction characteristics to the Pd/SiO2core catalyst. It maintains the physical and chemical properties of the core catalyst throughout the H-ZSM-5 shell synthesis process. Energy-dispersive X-ray spectroscopy and X-ray photoelectron spectroscopy results reveal that the H-ZSM-5 zeolite shell completely encapsulates the Pd/SiO2core catalyst. Compared with the crushed capsule catalyst (Pd/SiO2–SZP), the well-defined-structured Pd/SiO2–SZ catalyst has a much higher LPG selectivity of 33.6 %, owing to the well-matched reactions at the Pd/SiO2core and H-ZSM-5 shell. © 2020 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim",ChemSusChem,"{'ISSN': '18645631', 'Source Type': 'CHEMI', 'Original Language': 'Journal'}","{'Document Type': '10.1002/cssc.201903576', 'Publisher': '31999391'}","['capsule catalyst', 'carbon dioxide hydrogenation', 'liquefied petroleum gas', 'tandem reaction', 'Carbon dioxide', 'Catalysis', 'Energy dispersive spectroscopy', 'Gasoline', 'Hydrogenation', 'Liquefied petroleum gas', 'Methanol', 'Shells (structures)', 'Silicon', 'X ray photoelectron spectroscopy', 'Zeolites', 'Capsule catalysts', 'Carbon dioxide hydrogenation', 'Energy dispersive X ray spectroscopy', 'Hydrothermal reaction', 'Liquefied petroleum gas (LPG)', 'Mesoporous structures', 'Physical and chemical properties', 'Tandem reaction', 'Catalyst selectivity']","['aDepartment of Applied Chemistry, Graduate School of Engineering, University of Toyama, Gofuku 3190, Toyama, 930–8555, Japan', ""bDepartment of Chemistry, Faculty of Science, King Mongkut's Institute of Technology Ladkrabang, Bangkok, 10520, Thailand"", 'cDepartment of Chemical Technology, Faculty of Science, Chulalongkorn University, Bangkok, 10330, Thailand']","[{'Funding Sponsor': 'Japan Society for the Promotion of ScienceSee opportunities\xa0by\xa0JSPS', 'Funding Number': '20K05219', 'Acronym': 'JSPS'}, {'Funding Sponsor': 'Japan Science and Technology Agency', 'Funding Number': '2017AA001', 'Acronym': 'JST'}, {'Funding Sponsor': '', 'Funding Number': 'JPMJMI17E2', 'Acronym': ''}]"
Transforming YAWL Workflows into Petri Nets(Book Chapter),"['Paakbua, W.', 'Vatanawood, W.']","Volume 847, 2020, Pages 165-177","Business workflow management is essential and helps enhance efficiency, productivity and automation of the business functions. YAWL is one of the powerful business workflow modeling languages that is capable of representing the essential business workflow patterns needed for the software driven workflow automation. However, to do the model checking of a workflow written in YAWL is merely automated and the exhaustive simulations of the YAWL would still be time-consuming. In this paper, we propose an alternative to transform a YAWL workflow into a corresponding Petri nets model. A set of mapping rules would be proposed to cope with the non well formed model of YAWL. The resulting Petri nets model of the YAWL workflows is correct and ready for model checking. © 2020, Springer Nature Switzerland AG.",Studies in Computational Intelligence,"{'ISSN': '1860949X', 'Source Type': '978-303025216-8', 'Original Language': 'Book Series'}","{'Document Type': '10.1007/978-3-030-25217-5_12', 'Publisher': 'Book Chapter'}","['Formal model', 'Petri nets', 'YAWL workflow']","['Department of Computer Engineering, Chulalongkorn University, Bangkok, Thailand']",[]
The influence of e-government adoption and political stability on levels of happiness: A panel study of ASEAN countries(Article),"['Boonratmaitree, A.', 'Yodsurang, S.', 'Thongrawd, C.', 'Jermsittiparsert, K.']","Volume 12, Issue 11, 2020, Pages 360-374","E-government is an emerging concept of new technology for the provision of services to the public, resulting in an increase in transparency and efficiency. Political stability means the stability and peaceful conditions of politics and government. Happiness is the state of mind where a person does not experience negativity and is instead full of satisfaction and well-being. The purpose of this study is to explore the impact of e-government and political stability on the level of happiness of people, in the presence of two control variables, literacy rate and GDP growth. For the purposes of this research, data has been collected from ASEAN countries over a period of 29 years, from reliable resources. For the purposes of this research, several techniques and tests are used, such as panel unit root tests, panel cointegration tests, coefficient estimation test and the Granger casualty test. As a consequence of these tests, the impact of e-government and political stability, as well as the control variable, GDP growth on peoples' happiness levels is accepted. While the impact of a control variable, literacy rate is rejected. This study has several benefits and implications related to theoretical, practical and policy making for future researchers, citizens and government. © 2020, Primrose Hall Publishing Group.","International Journal of Innovation, Creativity and Change","{'ISSN': '22011315', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': 'Article', 'Publisher': 'Primrose Hall Publishing Group'}","['ASEAN countries', 'E-government adoption', 'Level of happiness', 'Political stability']","['aCollege of Innovation Management, Rajamangala University of Technology Rattanakosin, Nakhon Pathom, Thailand', 'bCollege of Logistics and Supply Chain, Suansunandha Rajabhat University, Bangkok, Thailand', 'cSocial Research Institute, Chulalongkorn University, Bangkok, Thailand']",[]
