Title,Author,Year,Type of Prize,url
undational discoveries and inventions that enable machine learning with artificial neural networks,"['John J. Hopfield', 'Geoffrey Hinton']",2024		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2024/summary/
protein structure prediction,['David Baker'],2024		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2024/summary/
the discovery of microRNA and its role in post-transcriptional gene regulation,"['Victor Ambros', 'Gary Ruvkun']",2024		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2024/summary/
her intense poetic prose that confronts historical traumas and exposes the fragility of human life,['Han Kang'],2024		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2024/summary/
its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again,['Nihon Hidankyo'],2024		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2024/summary/
studies of how institutions are formed and affect prosperity,"['Daron Acemoglu', 'Simon Johnson', 'James A. Robinson']",2024		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2024/summary/
experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,"['Pierre Agostini', 'Ferenc Krausz', 'Anne L’Huillier']",2023		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2023/summary/
the discovery and synthesis of quantum dots,"['Moungi Bawendi', 'Louis Brus', 'Aleksey Yekimov']",2023		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2023/summary/
their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,"['Katalin Karikó', 'Drew Weissman']",2023		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2023/summary/
his innovative plays and prose which give voice to the unsayable,['Jon Fosse'],2023		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2023/summary/
her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,['Narges Mohammadi'],2023		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2023/summary/
having advanced our understanding of women’s labour market outcomes,['Claudia Goldin'],2023		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2023/summary/
"experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","['Alain Aspect', 'John Clauser', 'Anton Zeilinger']",2022		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2022/summary/
